previous,high,low,close
10075,10100,10000,10100
10100,10100,10000,10025
10025,10025,9750,9975
9975,10075,9900,9975
9975,9975,9800,9800
9800,9850,9700,9800
9800,9800,9500,9750
9750,9850,9750,9800
9800,10250,9800,10250
10250,10650,10250,10550
10550,10725,10450,10625
10625,11175,10350,11075
11075,11250,10800,11175
11175,11100,10800,11075
11075,11075,10500,10950
10950,10950,10650,10650
10650,10800,10375,10400
10400,10700,10250,10400
10400,10575,10250,10575
10575,10800,10500,10650
10650,10950,10125,10800
10800,10875,10500,10500
10500,10650,10450,10525
10525,10575,10500,10500
10500,10650,10500,10500
10500,10650,10500,10500
10500,10700,10500,10525
10525,10525,10425,10450
10450,10525,10400,10400
10400,10475,10350,10400
10400,10475,10350,10350
10350,10550,10350,10500
10500,10600,10425,10500
10500,10600,10325,10325
10325,10575,10325,10475
10475,10725,10550,10700
10700,11400,10650,11350
11350,11350,10850,11225
11225,11275,10900,10925
10925,11150,10800,10925
10925,11075,10675,10800
10800,10825,10400,10425
10425,10750,10350,10700
10700,10800,10500,10750
10750,10850,10550,10550
10550,10775,10550,10775
10775,11100,10675,10975
10975,11100,10825,10975
10975,10975,10750,10975
10975,10950,10700,10750
10750,10875,10700,10725
10725,10950,10625,10750
10750,10925,10650,10925
10925,11000,10725,10875
10875,10875,10725,10725
10725,10925,10650,10650
10650,10800,10500,10600
10600,10750,10500,10500
10500,10775,10550,10575
10575,10625,10150,10150
10150,10425,10200,10300
10300,10500,10275,10400
10400,10900,10400,10700
10700,11125,10625,11000
11000,11300,10875,10900
10900,11050,10800,10900
10900,11175,10850,11125
11125,11400,11000,11350
11350,11625,11250,11425
11425,11500,11075,11325
11325,11700,11300,11700
11700,12425,11600,12400
12400,12475,12100,12300
12300,12500,12225,12300
12300,12950,12100,12600
12600,12925,12500,12775
12775,12900,12500,12825
12825,12750,12225,12400
12400,12425,11975,12250
12250,12425,12000,12200
12200,12450,11975,12425
12425,12625,12225,12600
12600,13125,12450,13000
13000,13275,12750,13000
13000,13175,12950,13125
13125,13400,13050,13200
13200,13200,12700,13000
13000,12900,12025,12125
12125,12375,12125,12275
12275,12600,12325,12600
12600,12825,12575,12800
12800,12825,12675,12825
12825,12850,12450,12775
12775,13075,12750,13050
13050,13575,13100,13575
13575,13800,13575,13700
13700,13750,13100,13500
13500,13500,13275,13325
13325,13475,13125,13250
13250,13625,13250,13425
13425,13500,13175,13400
13400,13675,13400,13600
13600,13675,13525,13550
13550,13550,13300,13300
13300,13525,13100,13525
13525,13625,13525,13600
13600,14200,13575,14100
14100,14525,14100,14500
14500,14675,14300,14575
14575,14650,14025,14025
14025,14450,14025,14100
14100,14100,13500,13500
13500,13750,13225,13400
13400,13400,13200,13325
13325,13975,13350,13850
13850,14100,13650,13675
13675,13825,13600,13700
13700,13900,13200,13200
13200,13200,12525,12525
12525,12950,12525,12675
12675,12925,12650,12875
12875,13000,12500,12600
12600,12750,12275,12350
12350,12500,12150,12425
12425,12675,12400,12425
12425,12425,12025,12075
12075,12075,11500,11575
11575,11850,10750,11800
11800,11950,11500,11800
11800,12025,11700,11925
11925,11925,11525,11875
11875,11800,11300,11400
11400,11575,11150,11250
11250,11800,11250,11775
11775,12175,11950,12125
12125,12225,11800,12050
12050,12000,11400,11450
11450,11650,11500,11600
11600,11750,11500,11575
11575,11675,11025,11025
11025,11150,11000,11100
11100,11350,11025,11200
11200,11325,11075,11100
11100,11250,11075,11200
11200,11200,11000,11150
11150,11150,10700,10825
10825,10825,10550,10575
10575,10850,10400,10850
10850,10825,10525,10525
10525,10625,10000,10575
10575,10300,9525,9800
9800,9900,9375,9500
9500,9825,9575,9700
9700,9975,9600,9750
9750,10200,9850,9950
9950,10150,9675,9700
9700,9500,8200,8200
8200,8525,8000,8100
8100,8175,7500,7600
7600,7400,6850,6850
6850,6775,6375,6375
6375,6375,5950,5950
5950,5750,5550,5550
5550,5850,5175,5175
5175,5000,4820,4820
4820,4980,4490,4730
4730,4680,4400,4400
4400,4610,4140,4290
4290,5225,4450,5200
5200,6225,5325,5500
5500,5500,5125,5150
5150,5700,5200,5400
5400,5650,5250,5275
5275,5400,5100,5325
5325,5675,5375,5550
5550,6075,5500,6050
6050,6600,6100,6600
6600,6850,6275,6400
6400,6700,6275,6400
6400,6600,6100,6525
6525,6750,6450,6700
6700,7100,6700,6700
6700,6700,6275,6325
6325,6650,6400,6575
6575,6875,6325,6550
6550,6450,6100,6100
6100,5900,5675,5675
5675,5850,5650,5675
